fr,mc,temps,personne,forme
chanter,Cantà,présent,1,Cantu
chanter,Cantà,présent,2,Canti
chanter,Cantà,présent,3,Canta
chanter,Cantà,présent,4,Cantemu
chanter,Cantà,présent,5,Cantèi
chanter,Cantà,présent,6,Cantannu
chanter,Cantà,imparfait,1,Cantava
chanter,Cantà,imparfait,2,Cantavi
chanter,Cantà,imparfait,3,Cantava
chanter,Cantà,imparfait,4,Cantavamu
chanter,Cantà,imparfait,5,Cantavai
chanter,Cantà,imparfait,6,Cantavannu
chanter,Cantà,futur,1,Canterò
chanter,Cantà,futur,2,Canterai
chanter,Cantà,futur,3,Canterà
chanter,Cantà,futur,4,Canteremu
chanter,Cantà,futur,5,Canterei
chanter,Cantà,futur,6,Canterannu
